reaction.dbId,inputMember.dbId,outputMember.dbId,catalystMember.dbId,positiveRegulationMember.dbId,negativeRegulationMember.dbId
9622851,9622835,9622835,9622835,9622835,9622847
9622851,9622835,9622835,9622835,9622835,9622835
9615721,9646686,9646686,9646686,9646686,9646686
9615721,9646686,9646686,9646686,9646686,1008196
9615721,9646686,9646686,9646686,9646686,9615716
9615721,9646686,9646686,9646686,9646686,9613664
9615721,9646686,9646686,9646686,9646686,9613667
9615721,9646686,9646686,9646686,1008196,9646686
9615721,9646686,9646686,9646686,1008196,1008196
9615721,9646686,9646686,9646686,1008196,9615716
9615721,9646686,9646686,9646686,1008196,9613664
9615721,9646686,9646686,9646686,1008196,9613667
9615721,9646686,9646686,9646686,9615716,9646686
9615721,9646686,9646686,9646686,9615716,1008196
9615721,9646686,9646686,9646686,9615716,9615716
9615721,9646686,9646686,9646686,9615716,9613664
9615721,9646686,9646686,9646686,9615716,9613667
9615721,9646686,9646686,9646686,9613664,9646686
9615721,9646686,9646686,9646686,9613664,1008196
9615721,9646686,9646686,9646686,9613664,9615716
9615721,9646686,9646686,9646686,9613664,9613664
9615721,9646686,9646686,9646686,9613664,9613667
9615721,9646686,9646686,9646686,9613667,9646686
9615721,9646686,9646686,9646686,9613667,1008196
9615721,9646686,9646686,9646686,9613667,9615716
9615721,9646686,9646686,9646686,9613667,9613664
9615721,9646686,9646686,9646686,9613667,9613667
9615721,9646686,9646686,1008196,9646686,9646686
9615721,9646686,9646686,1008196,9646686,1008196
9615721,9646686,9646686,1008196,9646686,9615716
9615721,9646686,9646686,1008196,9646686,9613664
9615721,9646686,9646686,1008196,9646686,9613667
9615721,9646686,9646686,1008196,1008196,9646686
9615721,9646686,9646686,1008196,1008196,1008196
9615721,9646686,9646686,1008196,1008196,9615716
9615721,9646686,9646686,1008196,1008196,9613664
9615721,9646686,9646686,1008196,1008196,9613667
9615721,9646686,9646686,1008196,9615716,9646686
9615721,9646686,9646686,1008196,9615716,1008196
9615721,9646686,9646686,1008196,9615716,9615716
9615721,9646686,9646686,1008196,9615716,9613664
9615721,9646686,9646686,1008196,9615716,9613667
